2000-04-19|NIU|H/Body 0.28 |T/Body 0.00 |CHG_PCT 6.5 |CHG/ATR nan |B/CHG 1.00 |B/ATR nan |V/LONG 1.7 |V/SHORT 2.5 |V/PREV 2.5 |O 21.1 |H 22.9 |L 21.1 |C 22.5 |V 131 Thousand
2000-04-20|NIU|H/Body 0.00 |T/Body 3.85 |CHG_PCT 0.6 |CHG/ATR nan |B/CHG 1.00 |B/ATR nan |V/LONG 0.6 |V/SHORT 0.8 |V/PREV 0.4 |O 22.5 |H 22.6 |L 22.0 |C 22.6 |V 50 Thousand
2000-04-24|NIU|H/Body 0.00 |T/Body 0.75 |CHG_PCT 0.0 |CHG/ATR nan |B/CHG inf |B/ATR nan |V/LONG 0.3 |V/SHORT 0.4 |V/PREV 0.5 |O 22.1 |H 22.6 |L 21.6 |C 22.6 |V 24 Thousand
2000-04-25|NIU|H/Body 0.00 |T/Body 0.00 |CHG_PCT 0.0 |CHG/ATR nan |B/CHG inf |B/ATR nan |V/LONG 0.0 |V/SHORT 0.0 |V/PREV 0.1 |O 21.6 |H 22.6 |L 21.6 |C 22.6 |V 2 Thousand
2000-04-26|RED|H/Body 1.03 |T/Body 0.00 |CHG_PCT -2.8 |CHG/ATR nan |B/CHG -0.49 |B/ATR nan |V/LONG 2.6 |V/SHORT 3.6 |V/PREV 80.2 |O 22.3 |H 22.6 |L 22.0 |C 22.0 |V 184 Thousand
2000-04-27|RED|H/Body 0.00 |T/Body 0.36 |CHG_PCT -2.5 |CHG/ATR nan |B/CHG -1.55 |B/ATR nan |V/LONG 1.1 |V/SHORT 1.0 |V/PREV 0.4 |O 22.3 |H 22.3 |L 21.1 |C 21.4 |V 82 Thousand
2000-04-28|RED|H/Body 0.00 |T/Body 0.54 |CHG_PCT -4.1 |CHG/ATR nan |B/CHG -1.07 |B/ATR nan |V/LONG 1.1 |V/SHORT 1.2 |V/PREV 1.0 |O 21.5 |H 21.5 |L 20.1 |C 20.6 |V 85 Thousand
2000-05-01|NIU|H/Body 0.27 |T/Body 0.00 |CHG_PCT 10.7 |CHG/ATR nan |B/CHG 1.08 |B/ATR nan |V/LONG 0.2 |V/SHORT 0.2 |V/PREV 0.2 |O 20.4 |H 23.4 |L 20.4 |C 22.8 |V 16 Thousand
2000-05-02|RED|H/Body 0.00 |T/Body 0.47 |CHG_PCT -1.6 |CHG/ATR nan |B/CHG -2.19 |B/ATR nan |V/LONG 0.4 |V/SHORT 0.4 |V/PREV 1.7 |O 23.2 |H 23.2 |L 22.0 |C 22.4 |V 26 Thousand
2000-05-03|RED|H/Body 44.00 |T/Body 43.00 |CHG_PCT -0.3 |CHG/ATR nan |B/CHG -0.14 |B/ATR nan |V/LONG 1.3 |V/SHORT 1.2 |V/PREV 3.7 |O 22.3 |H 22.8 |L 21.9 |C 22.3 |V 96 Thousand
